city_name,ksh_kod,nuts3,lat,lon,z,tile_x,pixel_y,pixel_x,tile_y
Aba,17376,HU211,47.0291899,18.5216608,8,141,2,43,90
Abádszalók,12441,HU322,47.4760139,20.5997748,8,142,139,166,89
Abaliget,12548,HU231,46.140978,18.116744,8,140,238,226,90
Abasár,24554,HU312,47.7947098,20.00018,8,142,52,56,89
Abaújalpár,15662,HU311,48.3065609,21.2326265,8,143,169,25,88
Abaújkér,26718,HU311,48.3079444,21.1998443,8,143,169,19,88
Abaújlak,2820,HU311,48.4050554,20.9550532,8,142,142,230,88
Abaújszántó,3595,HU311,48.278706,21.1855002,8,143,177,16,88
Abaújszolnok,26338,HU311,48.3724905,20.9739486,8,142,151,234,88
Abaújvár,2273,HU311,48.5260438,21.3146221,8,143,109,40,88
Abda,11882,HU221,47.6976818,17.5409829,8,140,79,121,89
Abod,10357,HU311,48.3926536,20.7910384,8,142,146,200,88
Abony,27872,HU120,47.1887402,20.0047823,8,142,216,57,89
Ábrahámhegy,4561,HU213,46.8147826,17.5714996,8,140,60,126,90
Ács,4428,HU212,47.7104229,18.0156133,8,140,75,207,89
Acsa,18573,HU120,47.7921867,19.3872403,8,141,53,201,89
Acsád,7214,HU222,47.3229798,16.7341853,8,139,180,230,89
Acsalag,33385,HU221,47.6752768,17.1988877,8,140,85,58,89
Ácsteszér,18139,HU212,47.4060144,18.0056878,8,140,157,205,89
Adács,23241,HU312,47.691546,19.9751962,8,142,80,52,89
Ádánd,6080,HU232,46.8570109,18.1541377,8,140,48,232,90
Adásztevel,7302,HU213,47.3041008,17.5400709,8,140,185,121,89
Adony,8925,HU211,47.1208993,18.8631074,8,141,234,105,89
Adorjánháza,31307,HU213,47.2431039,17.239537,8,140,201,66,89
Adorjás,6868,HU231,45.8498912,18.0640569,8,140,58,216,91
Ág,25812,HU231,46.2959997,18.204151,8,140,197,241,90
Ágasegyháza,17686,HU331,46.840237,19.4468392,8,141,53,212,90
Ágfalva,4880,HU221,47.6905324,16.5137872,8,139,81,190,89
Aggtelek,9362,HU311,48.4675127,20.5054403,8,142,125,148,88
Agyagosszergény,29407,HU221,47.609256,16.9409446,8,140,103,12,89
Ajak,8776,HU323,48.1778501,22.0522301,8,143,204,174,88
Ajka,6673,HU213,47.1056579,17.5587276,8,140,238,124,89
Aka,6682,HU212,47.4048171,18.0699103,8,140,158,217,89
Akasztó,21944,HU331,46.6909821,19.2063536,8,141,92,168,90
